time,authority,metal,session,unit,price,currency
1968-04-03,lbma,silver,default,g,0.070571,USD
1968-04-03,lbma,gold,pm,g,1.208867,USD
1968-04-03,lbma,gold,am,g,1.212082,USD
1968-04-04,lbma,silver,default,g,0.06832,USD
1968-04-04,lbma,gold,pm,g,1.187969,USD
1968-04-04,lbma,gold,am,g,1.179932,USD
1968-04-05,lbma,silver,default,g,0.067645,USD
1968-04-05,lbma,gold,pm,g,1.189577,USD
1968-04-05,lbma,gold,am,g,1.196007,USD
1968-04-08,lbma,silver,default,g,0.06861,USD
1968-04-08,lbma,gold,pm,g,1.191184,USD
1968-04-08,lbma,gold,am,g,1.189577,USD
1968-04-09,lbma,silver,default,g,0.070892,USD
1968-04-09,lbma,gold,pm,g,1.205652,USD
1968-04-09,lbma,gold,am,g,1.197614,USD
1968-04-10,lbma,silver,default,g,0.070828,USD
1968-04-10,lbma,gold,pm,g,1.212082,USD
1968-04-10,lbma,gold,am,g,1.208867,USD
1968-04-11,lbma,silver,default,g,0.069478,USD
1968-04-11,lbma,gold,pm,g,1.221727,USD
1968-04-11,lbma,gold,am,g,1.223335,USD
1968-04-16,lbma,silver,default,g,0.072436,USD
1968-04-16,lbma,gold,pm,g,1.221727,USD
1968-04-16,lbma,gold,am,g,1.224943,USD
1968-04-17,lbma,silver,default,g,0.074043,USD
1968-04-17,lbma,gold,pm,g,1.215297,USD
1968-04-17,lbma,gold,am,g,1.221727,USD
1968-04-18,lbma,silver,default,g,0.07176,USD
1968-04-18,lbma,gold,pm,g,1.20726,USD
1968-04-18,lbma,gold,am,g,1.208867,USD
1968-04-19,lbma,silver,default,g,0.073336,USD
1968-04-19,lbma,gold,pm,g,1.210475,USD
1968-04-19,lbma,gold,am,g,1.210475,USD
1968-04-22,lbma,silver,default,g,0.075876,USD
1968-04-22,lbma,gold,pm,g,1.221727,USD
1968-04-22,lbma,gold,am,g,1.231373,USD
1968-04-23,lbma,silver,default,g,0.075876,USD
1968-04-23,lbma,gold,pm,g,1.234588,USD
1968-04-23,lbma,gold,am,g,1.223335,USD
1968-04-24,lbma,silver,default,g,0.073915,USD
1968-04-24,lbma,gold,pm,g,1.229765,USD
1968-04-24,lbma,gold,am,g,1.23298,USD
1968-04-25,lbma,silver,default,g,0.074204,USD
1968-04-25,lbma,gold,pm,g,1.231373,USD
1968-04-25,lbma,gold,am,g,1.229765,USD
1968-04-26,lbma,silver,default,g,0.074815,USD
1968-04-26,lbma,gold,pm,g,1.242625,USD
1968-04-26,lbma,gold,am,g,1.237803,USD
1968-04-29,lbma,silver,default,g,0.077033,USD
1968-04-29,lbma,gold,pm,g,1.245841,USD
1968-04-29,lbma,gold,am,g,1.23941,USD
1968-04-30,lbma,silver,default,g,0.077065,USD
1968-04-30,lbma,gold,pm,g,1.257093,USD
1968-04-30,lbma,gold,am,g,1.257093,USD
1968-05-01,lbma,silver,default,g,0.075779,USD
1968-05-01,lbma,gold,pm,g,1.260308,USD
1968-05-01,lbma,gold,am,g,1.257093,USD
1968-05-02,lbma,silver,default,g,0.07385,USD
1968-05-02,lbma,gold,pm,g,1.268346,USD
1968-05-02,lbma,gold,am,g,1.261916,USD
1968-05-03,lbma,silver,default,g,0.074429,USD
1968-05-03,lbma,gold,pm,g,1.257093,USD
1968-05-03,lbma,gold,am,g,1.273169,USD
1968-05-06,lbma,silver,default,g,0.075072,USD
1968-05-06,lbma,gold,pm,g,1.277991,USD
1968-05-06,lbma,gold,am,g,1.276384,USD
1968-05-07,lbma,silver,default,g,0.072178,USD
1968-05-07,lbma,gold,pm,g,1.263523,USD
1968-05-07,lbma,gold,am,g,1.263523,USD
1968-05-08,lbma,silver,default,g,0.074622,USD
1968-05-08,lbma,gold,pm,g,1.277991,USD
1968-05-08,lbma,gold,am,g,1.269954,USD
1968-05-09,lbma,silver,default,g,0.074558,USD
1968-05-09,lbma,gold,pm,g,1.276384,USD
1968-05-09,lbma,gold,am,g,1.276384,USD
1968-05-10,lbma,silver,default,g,0.075908,USD
1968-05-10,lbma,gold,pm,g,1.273169,USD
1968-05-10,lbma,gold,am,g,1.279599,USD
1968-05-13,lbma,silver,default,g,0.075844,USD
1968-05-13,lbma,gold,pm,g,1.269954,USD
1968-05-13,lbma,gold,am,g,1.266738,USD
1968-05-14,lbma,silver,default,g,0.076487,USD
1968-05-14,lbma,gold,pm,g,1.279599,USD
1968-05-14,lbma,gold,am,g,1.273169,USD
1968-05-15,lbma,silver,default,g,0.077194,USD
1968-05-15,lbma,gold,pm,g,1.294067,USD
1968-05-15,lbma,gold,am,g,1.289244,USD
1968-05-16,lbma,silver,default,g,0.079059,USD
1968-05-16,lbma,gold,pm,g,1.326217,USD
1968-05-16,lbma,gold,am,g,1.313357,USD
1968-05-17,lbma,silver,default,g,0.080538,USD
1968-05-17,lbma,gold,pm,g,1.334255,USD
1968-05-17,lbma,gold,am,g,1.33747,USD
1968-05-20,lbma,silver,default,g,0.08057,USD
1968-05-20,lbma,gold,pm,g,1.359976,USD
1968-05-20,lbma,gold,am,g,1.35033,USD
1968-05-21,lbma,silver,default,g,0.082113,USD
1968-05-21,lbma,gold,pm,g,1.363191,USD
1968-05-21,lbma,gold,am,g,1.369621,USD
1968-05-22,lbma,silver,default,g,0.079316,USD
1968-05-22,lbma,gold,pm,g,1.335863,USD
1968-05-22,lbma,gold,am,g,1.35676,USD
1968-05-23,lbma,silver,default,g,0.079734,USD
1968-05-23,lbma,gold,pm,g,1.33104,USD
1968-05-23,lbma,gold,am,g,1.334255,USD
1968-05-24,lbma,silver,default,g,0.080473,USD
1968-05-24,lbma,gold,pm,g,1.342293,USD
1968-05-24,lbma,gold,am,g,1.342293,USD
1968-05-27,lbma,silver,default,g,0.080859,USD
1968-05-27,lbma,gold,pm,g,1.334255,USD
1968-05-27,lbma,gold,am,g,1.334255,USD
1968-05-28,lbma,silver,default,g,0.080055,USD
1968-05-28,lbma,gold,pm,g,1.334255,USD
1968-05-28,lbma,gold,am,g,1.33747,USD
1968-05-29,lbma,silver,default,g,0.077676,USD
1968-05-29,lbma,gold,pm,g,1.33747,USD
1968-05-29,lbma,gold,am,g,1.334255,USD
1968-05-30,lbma,silver,default,g,0.079637,USD
1968-05-30,lbma,gold,pm,g,1.348723,USD
1968-05-30,lbma,gold,am,g,1.342293,USD
1968-05-31,lbma,silver,default,g,0.07983,USD
1968-05-31,lbma,gold,pm,g,1.348723,USD
