time,currency,rate
2026-06-18 19:27:22.284080,ZWL,1.49441e-05
2026-06-18 19:27:22.284080,ZWD,0.00276319
2026-06-18 19:27:22.284080,ZMW,0.0555559063
2026-06-18 19:27:22.284080,ZAR,0.0609957352
2026-06-18 19:27:22.284080,YER,0.004190981
2026-06-18 19:27:22.284080,XPF,0.0096148999
2026-06-18 19:27:22.284080,XOF,0.0017491433
2026-06-18 19:27:22.284080,XDR,1.3672036163
2026-06-18 19:27:22.284080,XCD,0.3694712157
2026-06-18 19:27:22.284080,XAF,0.0017491433
2026-06-18 19:27:22.284080,WST,0.3633971173
2026-06-18 19:27:22.284080,VUV,0.0084343346
2026-06-18 19:27:22.284080,VND,3.79924e-05
2026-06-18 19:27:22.284080,VES,0.0016709947
2026-06-18 19:27:22.284080,VEF,2.77168e-07
2026-06-18 19:27:22.284080,VED,0.0016709947
2026-06-18 19:27:22.284080,UZS,8.27967e-05
2026-06-18 19:27:22.284080,UYU,0.0249669315
2026-06-18 19:27:22.284080,USD,1.0
2026-06-18 19:27:22.284080,UGX,0.0002733347
2026-06-18 19:27:22.284080,UAH,0.0222686977
2026-06-18 19:27:22.284080,TZS,0.0003804283
2026-06-18 19:27:22.284080,TWD,0.0316535196
2026-06-18 19:27:22.284080,TVD,0.7023990837
2026-06-18 19:27:22.284080,TTD,0.147391795
2026-06-18 19:27:22.284080,TRY,0.02153143
2026-06-18 19:27:22.284080,TOP,0.4161894538
2026-06-18 19:27:22.284080,TND,0.3401400591
2026-06-18 19:27:22.284080,TMT,0.2849249891
2026-06-18 19:27:22.284080,TJS,0.1077519754
2026-06-18 19:27:22.284080,THB,0.030510387
2026-06-18 19:27:22.284080,SZL,0.0609957352
2026-06-18 19:27:22.284080,SYP,0.00904977375566
2026-06-18 19:27:22.284080,SVC,0.1142857143
2026-06-18 19:27:22.284080,STN,0.0467521646
2026-06-18 19:27:22.284080,SRD,0.0266773059
2026-06-18 19:27:22.284080,SPL,6.000000024
2026-06-18 19:27:22.284080,SOS,0.0017510514
2026-06-18 19:27:22.284080,SLL,4.40506e-05
2026-06-18 19:27:22.284080,SLE,0.0437729223
2026-06-18 19:27:22.284080,SKK,0.0380854664
2026-06-18 19:27:22.284080,SHP,1.324069409
2026-06-18 19:27:22.284080,SGD,0.7755000758
2026-06-18 19:27:22.284080,SEK,0.1046778661
2026-06-18 19:27:22.284080,SDG,0.0016661468
2026-06-18 19:27:22.284080,SCR,0.0682853538
2026-06-18 19:27:22.284080,SBD,0.124168718
2026-06-18 19:27:22.284080,SAR,0.2666666667
2026-06-18 19:27:22.284080,RWF,0.0006752594
2026-06-18 19:27:22.284080,RUB,0.01365187713311
2026-06-18 19:27:22.284080,RSD,0.0097756773
2026-06-18 19:27:22.284080,RON,0.2189751919
2026-06-18 19:27:22.284080,QAR,0.2747252747
2026-06-18 19:27:22.284080,PYG,0.0001638675
2026-06-18 19:27:22.284080,PLN,0.2695221261
2026-06-18 19:27:22.284080,PKR,0.0035937861
2026-06-18 19:27:22.284080,PHP,0.0165217405
2026-06-18 19:27:22.284080,PGK,0.2282682785
2026-06-18 19:27:22.284080,PEN,0.2952955466
2026-06-18 19:27:22.284080,PAB,1.0
2026-06-18 19:27:22.284080,OMR,2.5993285743
2026-06-18 19:27:22.284080,NZD,0.5772061804
2026-06-18 19:27:22.284080,NTD,0.0337206
2026-06-18 19:27:22.284080,NPR,0.0066311301
2026-06-18 19:27:22.284080,NOK,0.1029731709
2026-06-18 19:27:22.284080,NIO,0.0271729572
2026-06-18 19:27:22.284080,NGN,0.0007348227
2026-06-18 19:27:22.284080,NAD,0.0609957352
2026-06-18 19:27:22.284080,MZN,0.0156553361
2026-06-18 19:27:22.284080,MYR,0.2428269996
2026-06-18 19:27:22.284080,MXN,0.057625509
2026-06-18 19:27:22.284080,MWK,0.0005765376
2026-06-18 19:27:22.284080,MVR,0.0646849599
2026-06-18 19:27:22.284080,MUR,0.0210544544
2026-06-18 19:27:22.284080,MRU,0.0250669368
2026-06-18 19:27:22.284080,MOP,0.123876206
2026-06-18 19:27:22.284080,MNT,0.0002793758
2026-06-18 19:27:22.284080,MMK,0.0004762718
2026-06-18 19:27:22.284080,MKD,0.0186136544
2026-06-18 19:27:22.284080,MGA,0.0002369833
2026-06-18 19:27:22.284080,MDL,0.0572518656
2026-06-18 19:27:22.284080,MAD,0.1073904017
2026-06-18 19:27:22.284080,LYD,0.1566900446
2026-06-18 19:27:22.284080,LVL,1.6325594219
2026-06-18 19:27:22.284080,LTL,0.3322992243
2026-06-18 19:27:22.284080,LSL,0.0609957352
2026-06-18 19:27:22.284080,LRD,0.0054922653
2026-06-18 19:27:22.284080,LKR,0.0029970956
2026-06-18 19:27:22.284080,LBP,1.11328e-05
2026-06-18 19:27:22.284080,LAK,4.5373e-05
2026-06-18 19:27:22.284080,KZT,0.0020499598
2026-06-18 19:27:22.284080,KYD,1.2031748353
2026-06-18 19:27:22.284080,KWD,3.2475712899
2026-06-18 19:27:22.284080,KRW,0.0006509545
2026-06-18 19:27:22.284080,KPW,0.0011109408
2026-06-18 19:27:22.284080,KMF,0.002332191
2026-06-18 19:27:22.284080,KHR,0.0002484429
2026-06-18 19:27:22.284080,KGS,0.0114341343
2026-06-18 19:27:22.284080,KES,0.0077249947
2026-06-18 19:27:22.284080,JPY,0.006215669
2026-06-18 19:27:22.284080,JOD,1.4104372355
2026-06-18 19:27:22.284080,JMD,0.0063232717
